,Имя,Число генов,Число геномов,Число генов с Z-DNA в промотере,Максимальный Z-Score,Средний Z-Score
1512,single-stranded DNA-binding protein,25,50,17,68804.91,9488.771958823529
1513,type I methionyl aminopeptidase,34,50,23,49376.54,5123.683926086957
1514,uroporphyrinogen-III synthase,25,50,17,38833.58,4765.415094117649
1515,2-phospho-L-lactate transferase,28,50,17,28780.5,5208.223441176472
1516,5'-3' exonuclease,33,50,20,138924.1,11468.286485000002
1517,Fpg/Nei family DNA glycosylase,34,50,23,48804.94,8462.191073913044
1518,amidase,44,50,27,49376.54,6499.279118518518
1519,NADP-dependent oxidoreductase,36,50,26,18247.98,3854.172661538462
1520,sigma-70 family RNA polymerase sigma factor,42,50,24,941334.2,43200.35354583333
1521,nitroreductase family deazaflavin-dependent oxidoreductase,29,50,14,7973.084,2839.9654142857144
1522,YdeI/OmpD-associated family protein,27,50,16,8323.257,1931.4982687500003
1523,PadR family transcriptional regulator,29,50,14,10894.72,2685.2815857142855
1524,PadR family transcriptional regulator,32,50,16,138924.1,13054.88996875
1525,Nramp family divalent metal transporter,24,50,17,13072.54,2939.0429529411763
1526,organic hydroperoxide resistance protein,25,50,15,3428.529,1552.8023199999998
1527,APC family permease,37,50,21,13713.99,2693.7039666666665
1528,cation:dicarboxylase symporter family transporter,26,50,11,37878.25,5572.753727272727
1529,RNA polymerase sigma factor SigF,30,50,19,211093.9,16743.844921052627
1530,LLM class F420-dependent oxidoreductase,25,50,12,302785.5,31330.826033333335
1531,PH domain-containing protein,45,50,22,37878.25,3716.882681818183
1532,DUF308 domain-containing protein,27,50,14,6565.992,1770.5449142857144
1533,ATP-dependent DNA ligase,32,50,12,9300.843,2026.2370000000003
1534,galactose-1-phosphate uridylyltransferase,26,50,15,46858.52,5683.691333333334
1535,DNA-3-methyladenine glycosylase 2 family protein,28,50,18,38833.58,7095.90298888889
1536,amidohydrolase family protein,27,50,14,211093.9,19988.157457142857
1537,PHP domain-containing protein,28,50,20,38833.58,5874.562415
1538,non-homologous end-joining DNA ligase,30,50,13,13713.99,3709.7556846153843
1539,winged helix DNA-binding domain-containing protein,26,50,22,49376.54,6078.613990909091
1540,metalloregulator ArsR/SmtB family transcription factor,31,50,18,13713.99,2566.4294944444446
1541,glucose-6-phosphate dehydrogenase (coenzyme-F420),32,50,14,138924.1,11484.578971428567
1542,aldo/keto reductase,28,50,17,8485.756,1853.5830529411764
1543,hypothetical protein,26,50,10,2752.447,1264.0989599999998
1544,acyl-CoA desaturase,32,50,16,27872.66,4192.4050625
1545,Rv2578c family radical SAM protein,29,50,18,38833.58,4714.7600999999995
1546,decarboxylating 6-phosphogluconate dehydrogenase,30,50,24,138924.1,10846.019220833334
1547,iron chelate uptake ABC transporter family permease subunit,30,50,23,12351.13,3158.613834782608
1548,PQQ-dependent sugar dehydrogenase,26,50,20,38833.58,4683.201030000002
1549,cation diffusion facilitator family transporter,32,50,14,28780.5,3860.4552214285713
1550,EfeM/EfeO family lipoprotein,27,50,20,211093.9,15933.51403
1551,mycothiol system anti-sigma-R factor,44,50,29,13713.99,3714.2903310344836
1552,NADH-quinone oxidoreductase subunit G,27,50,11,13072.54,2309.489463636364
1553,pyridoxal kinase PdxY,36,50,16,138924.1,10079.28430625
1554,CDGSH iron-sulfur domain-containing protein,30,50,22,8575.808,2090.5791545454545
1555,DUF2277 domain-containing protein,33,50,17,3428.529,1723.4105058823532
1556,ComEA family DNA-binding protein,43,50,25,29467.88,5618.4272999999985
1557,low molecular weight phosphatase family protein,27,50,19,27872.66,3522.718684210527
1558,iron-containing redox enzyme family protein,30,50,19,3428.529,1080.176421052632
1559,metalloregulator ArsR/SmtB family transcription factor,37,50,17,2883.764,1160.7222058823527
1560,saccharopine dehydrogenase NADP-binding domain-containing protein,27,50,18,198956.2,23423.250483333333
1561,exodeoxyribonuclease V subunit gamma,25,50,15,17718.99,3951.859746666667
1562,exodeoxyribonuclease V subunit alpha,25,50,17,6680.689,1811.0035823529415
1563,glutamine amidotransferase,24,50,14,28780.5,6037.1879285714285
1564,AarF/UbiB family protein,32,50,22,38833.58,5104.314018181818
1565,preprotein translocase subunit YajC,42,50,23,68804.91,7005.860913043479
1566,ABC transporter ATP-binding protein/permease,25,50,19,28780.5,4075.6240157894736
1567,50S ribosomal protein L32,48,50,29,13713.99,3217.9919758620686
1568,PLD nuclease N-terminal domain-containing protein,28,50,16,941334.2,95445.82823124997
1569,DUF1697 domain-containing protein,30,50,18,13713.99,3131.4876499999996
1570,YhgE/Pip domain-containing protein,36,50,23,38833.58,6954.284504347825
1571,sensor histidine kinase KdpD,26,50,12,4615.4,1508.6978416666668
1572,isopentenyl-diphosphate Delta-isomerase,25,50,14,1743.107,976.5409285714285
1573,energy-coupling factor ABC transporter ATP-binding protein,25,50,15,38833.58,4848.442013333333
1574,DUF2236 domain-containing protein,30,50,16,198956.2,21237.701668750004
1575,N-acetylmuramoyl-L-alanine amidase,27,50,14,4860.206,1824.9127357142859
1576,isochorismatase family protein,40,50,22,2752.447,1077.6957000000002
1577,ABC transporter ATP-binding protein,29,50,20,13713.99,4356.2169
1578,methyltransferase,27,50,18,38833.58,4506.641577777777
1579,septum formation initiator family protein,33,50,20,65884.11,6600.178850000001
1580,TrkA family potassium uptake protein,35,50,13,13713.99,3375.337146153846
1581,ABC transporter ATP-binding protein/permease,26,50,23,50885.97,4122.975895652175
1582,YifB family Mg chelatase-like AAA ATPase,44,50,28,66470.78,9790.258521428568
1583,PrsW family intramembrane metalloprotease,29,50,18,28780.5,2848.765955555556
1584,trehalose-phosphatase,34,50,22,65884.11,9723.622845454542
1585,SGNH/GDSL hydrolase family protein,34,50,18,8962.093,2337.407338888889
1586,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,45,50,28,28780.5,5933.069300000001
1587,murein biosynthesis integral membrane protein MurJ,27,50,20,138924.1,12898.780904999998
1588,aquaporin family protein,27,50,9,2752.447,1401.6688444444444
1589,DMT family transporter,32,50,16,302785.5,39639.493225000006
1590,replicative DNA helicase,31,50,17,38833.58,7124.3948058823535
1591,homoserine dehydrogenase,45,50,32,28780.5,5638.644618750001
1592,L-lactate dehydrogenase,26,50,19,28780.5,4387.26272631579
1593,hypothetical protein,33,50,25,27872.66,3590.8744800000004
1594,protein phosphatase 2C domain-containing protein,31,50,25,27872.66,4590.794500000001
1595,ABC transporter permease,32,50,22,6832.989,2301.189127272727
1596,ABC transporter permease,33,50,21,4270.735,1243.4781428571428
1597,BMP family ABC transporter substrate-binding protein,33,50,20,138924.1,16869.130475
1598,PH domain-containing protein,28,50,17,8485.756,2550.317205882353
1599,cyclic pyranopterin monophosphate synthase MoaC,39,50,27,66470.78,6607.136507407407
1600,vitamin K epoxide reductase family protein,40,50,25,29467.88,3510.3963360000007
1601,hypothetical protein,27,50,18,3428.529,1402.7713444444444
1602,DUF4129 domain-containing protein,27,50,19,46858.52,6386.636163157895
1603,DUF58 domain-containing protein,27,50,15,4545.701,1521.8082066666668
1604,RDD family protein,27,50,19,28780.5,4920.953131578947
1605,stage II sporulation protein M,26,50,16,68804.91,7482.848643750002
1606,fructosamine kinase family protein,32,50,21,13713.99,2961.4715047619047
1607,DUF4032 domain-containing protein,25,50,11,1939.964,1075.760890909091
1608,DUF885 domain-containing protein,34,50,17,9300.843,2221.0922823529413
1609,DUF4350 domain-containing protein,27,50,20,198956.2,18396.937500000004
1610,NAD(+) synthase,24,50,15,17253.57,3774.77312
1611,NTP transferase domain-containing protein,27,50,16,65884.11,6042.97825625
1612,FKBP-type peptidyl-prolyl cis-trans isomerase,34,50,23,65884.11,6812.508965217389
1613,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase,30,50,20,211093.9,13424.49118
1614,DUF2183 domain-containing protein,28,50,23,138924.1,9851.356817391305
1615,MFS transporter,32,50,21,18247.98,2887.915652380953
1616,DNA recombination protein RmuC,33,50,24,18247.98,4767.615737500001
1617,M3 family metallopeptidase,26,50,11,38833.58,10008.320763636364
1618,thymidine kinase,24,50,18,94590.41,12823.809522222225
1619,hypothetical protein,25,50,21,66470.78,7100.830985714285
1620,TrkH family potassium uptake protein,39,50,22,16271.57,2575.8481772727273
1621,helix-turn-helix transcriptional regulator,30,50,15,13713.99,2394.844786666667
1622,hypothetical protein,28,50,24,27872.66,4218.46775
1623,class E sortase,32,50,21,28780.5,5912.166352380954
1624,mannose-1-phosphate guanylyltransferase,28,50,15,3039.246,1501.2281333333337
1625,SURF1 family protein,25,50,16,9300.843,1515.2377125
1626,DUF3662 domain-containing protein,31,50,21,138924.1,11704.039490476189
1627,HU family DNA-binding protein,24,50,8,66470.78,10197.372925000001
1628,hypothetical protein,26,50,21,10616.46,2204.454195238096
1629,SseB family protein,27,50,16,13713.99,2504.8027187499997
1630,hypothetical protein,25,50,16,13713.99,4318.294612499999
1631,sodium-dependent transporter,26,50,11,12723.6,2943.7753181818184
1632,type IIA DNA topoisomerase subunit B,25,50,15,29467.88,2896.981446666666
